date,Dissolved_oxygen,pH_value,oxidation-reduction_potential,salinity,temperature
00:16,4.73,7.44,131.0,0.37,25.9
00:46,4.63,7.71,129.0,0.37,25.9
01:16,4.45,7.75,138.0,0.37,25.9
01:46,4.43,7.75,138.0,0.37,26.0
02:16,4.5,7.75,138.0,0.37,26.0
02:46,4.39,7.77,136.0,0.37,26.0
03:16,4.44,7.77,135.0,0.37,26.0
03:46,4.42,7.77,134.0,0.37,26.0
04:16,4.42,7.77,134.0,0.37,26.0
04:46,4.32,7.77,133.0,0.37,26.1
05:17,4.39,7.52,131.0,0.37,26.1
05:47,4.34,7.52,130.0,0.37,26.1
06:17,4.34,7.52,128.0,0.37,26.1
06:47,4.36,7.52,127.0,0.37,26.1
07:17,4.42,7.52,124.0,0.37,26.1
07:47,4.31,7.52,122.0,0.37,26.1
08:17,4.4,7.52,119.0,0.37,26.0
08:47,4.28,7.52,118.0,0.37,26.0
09:17,4.33,7.52,114.0,0.37,26.0
09:47,4.37,7.75,109.0,0.37,25.9
10:17,4.28,7.75,107.0,0.37,25.9
10:48,4.22,7.75,106.0,0.37,25.8
11:18,4.19,7.76,106.0,0.37,25.8
11:48,4.44,7.76,110.0,0.37,25.8
12:18,4.38,7.77,109.0,0.37,25.8
12:48,4.52,7.77,109.0,0.37,25.8
13:18,4.38,7.77,108.0,0.37,25.8
13:48,4.53,7.77,107.0,0.37,25.7
14:18,4.59,7.77,106.0,0.37,25.7
14:48,4.61,7.79,106.0,0.37,25.7
15:18,4.69,7.79,105.0,0.37,25.6
15:48,4.65,7.79,104.0,0.37,25.6
16:19,4.62,7.79,104.0,0.37,25.5
16:49,4.66,7.8,103.0,0.37,25.5
17:19,4.65,7.82,103.0,0.37,25.5
